Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main Wing,289.761273,289.761273,32.851283,32.851283
Totals,289.761273,289.761273,32.851283,32.851283

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main Wing_Surf0,144.880636,144.880636
Main Wing_Surf1,144.880636,144.880636
