Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
Wing	316.407695	308.922100	42.204882	41.904594	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Strut	151.945766	149.390120	10.790103	10.788371	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Duct	90.447866	90.447866	11.439186	11.439186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Duct	90.447866	90.447866	11.439186	11.439186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Fuselage	488.686723	479.491643	461.613328	460.602028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	42.600000	26.770727	7.296666
VerticalTail	32.414640	31.546732	3.582357	3.545512	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
HorizontalTail	37.306276	35.970483	2.813751	2.758971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
