Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
Wing	316.407695	308.922100	42.204882	41.904431	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Strut	151.945766	149.390120	10.790103	10.788329	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Duct	62.643990	62.643990	6.892796	6.892796	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Duct	62.643990	62.643990	6.892796	6.892796	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Fuselage	488.686723	479.491643	461.613328	460.600236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	42.600000	26.770727	7.296666
VerticalTail	35.961707	35.100351	4.186176	4.155124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
HorizontalTail	37.503134	35.975989	2.837679	2.768240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
