xflr5 v6.47

C:/Users/miksw/Documents/XFLR5/NACA 0012.dat
Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 24.000       0.151     1.410    -0.025     0.005     1.000    0.0000  -14.4691
 Cpi          Cpv
 0.3838   -0.0387
 0.3818   -0.0576
 0.3811   -0.0767
 0.3821   -0.0956
 0.3849   -0.1145
 0.3903   -0.1327
 0.3988   -0.1499
 0.4103   -0.1669
 0.4279   -0.1814
 0.4531   -0.1970
 0.4897   -0.2311
 0.5203   -0.2755


Reynolds = 9000000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 23.000       0.093     1.678     0.009     0.005     1.000    0.0000  -17.4536
 Cpi          Cpv
-----------------
 0.5167   -0.2292
 0.4592   -0.2294
 0.3987   -0.2299
 0.3488   -0.2307
 0.3042   -0.2320
 0.2639   -0.2335
 0.2246   -0.2354
 0.1868   -0.2377
 0.1501   -0.2403
 0.1136   -0.2433
 0.0775   -0.2467
 0.0411   -0.2505
 0.0051   -0.2547
-0.0316   -0.2593
-0.0686   -0.2643
-0.1061   -0.2698
-0.1445   -0.2758
-0.1837   -0.2822
-0.2235   -0.2892
-0.2648   -0.2968
-0.3071   -0.3049
-0.3511   -0.3137
-0.3962   -0.3231
-0.4436   -0.3333
-0.4926   -0.3442
-0.5441   -0.3560
-0.5977   -0.3686
-0.6544   -0.3822
-0.7137   -0.3968
-0.7764   -0.4125
-0.8428   -0.4294
-0.9129   -0.4475
-0.9874   -0.4669
-1.0668   -0.4878
-1.1512   -0.5100
-1.2414   -0.5338
-1.3377   -0.5590
-1.4410   -0.5853
-1.5523   -0.6126
-1.6719   -0.6398
-1.8011   -0.6616
-1.9409   -0.6845
-2.0929   -0.7909
-2.2595   -0.9438
-2.4408   -1.1226
-2.6415   -1.3148
-2.8630   -1.5161
-3.1104   -1.7280
-3.3880   -1.9539
-3.7011   -2.1985
