xflr5 v6.43

NACA 63A-609
Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 16.000       0.126     1.180    -0.070     0.004     1.000    0.0000  -10.2997
 Cpi          Cpv
 0.6032   -0.1924


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 13.000       0.047     1.397    -0.049     0.004     1.000    0.0000  -11.7962
 Cpi          Cpv
-----------------
 0.5986   -0.1381
-0.0190   -0.1383
 0.1361   -0.1393
 0.0882   -0.1408
 0.0727   -0.1428
 0.0428   -0.1452
-0.0056   -0.1481
-0.0775   -0.1516
-0.1740   -0.1554
-0.2463   -0.1598
-0.3394   -0.1642
-0.4925   -0.1667
-0.5868   -0.1624
-0.6640   -0.1896
-0.7582   -0.2479
-0.8575   -0.3358
-0.9627   -0.4465
-1.0736   -0.5702
-1.1911   -0.6991
-1.3145   -0.8283
-1.4406   -0.9546
-1.5632   -1.0744
-1.6951   -1.1938
-1.8245   -1.3094
-1.9811   -1.4372
-2.1656   -1.5801
-2.3841   -1.7430
-2.6508   -1.9347
-2.9883   -2.1675
-3.3970   -2.4453
-3.9441   -2.8006
-4.6457   -3.2485
-5.6023   -3.8452
-6.9216   -4.6920
-8.7063   -6.0528
-11.1928   -8.1766
-14.5830   -9.0798
-18.0282   -9.2829
-19.7335   -9.9303
-20.9067   -10.8794
-25.1023   -11.7962
-23.3227   -11.0552
-18.4480   -8.7229
-13.3780   -5.9172
-7.5456   -2.8909
-4.0580   -1.0104
-0.9657    0.3707
 0.2612    0.8458
 0.7578    0.9853
 0.9478    0.9944
 0.9989    0.9511
 0.9868    0.8890
 0.9460    0.8208
 0.8935    0.7546
 0.8374    0.6910
 0.7818    0.6324
 0.7288    0.5780
 0.6794    0.5283
 0.6328    0.4812
 0.5927    0.4412
 0.5581    0.4069
 0.5310    0.3801
 0.5105    0.3598
 0.4952    0.3442
 0.4843    0.3323
 0.4773    0.3236
 0.4739    0.3173
 0.4724    0.3118
 0.4724    0.3054
 0.4574    0.2819
 0.4162    0.2271
 0.3934    0.1842
 0.3749    0.1447
 0.3599    0.1072
 0.3514    0.0731
 0.3337    0.0258
 0.3077   -0.0363
 0.2741   -0.1131
 0.2616   -0.1630
 0.0808   -0.2717
 0.5986   -0.1381


Reynolds =  900000   Mach =    0  NCrit = 9.0
